CRIM,INDUS,CHAS,NOX,RM,PTRATIO,B,LSTAT,MEDV
28.6558,18.1,0.0,0.597,5,20.2,210.97,20.08,16.3
45.7461,18.1,0.0,0.693,4,20.2,88.27,36.98,7.0
18.0846,18.1,0.0,0.679,6,20.2,27.25,29.05,7.2
10.8342,18.1,0.0,0.679,6,20.2,21.57,25.79,7.5
25.9406,18.1,0.0,0.679,5,20.2,127.36,26.64,10.4
73.5341,18.1,0.0,0.679,5,20.2,16.45,20.62,8.8
11.8123,18.1,0.0,0.718,6,20.2,48.45,22.74,8.4
11.0874,18.1,0.0,0.718,6,20.2,318.75,15.02,16.7
7.02259,18.1,0.0,0.718,6,20.2,319.98,15.7,14.2
12.0482,18.1,0.0,0.614,5,20.2,291.55,14.1,20.8
7.05042,18.1,0.0,0.614,6,20.2,2.52,23.29,13.4
8.79212,18.1,0.0,0.584,5,20.2,3.65,17.16,11.7
15.8603,18.1,0.0,0.679,5,20.2,7.68,24.39,8.3
12.2472,18.1,0.0,0.584,5,20.2,24.65,15.69,10.2
37.6619,18.1,0.0,0.679,6,20.2,18.82,14.52,10.9
7.36711,18.1,0.0,0.679,6,20.2,96.73,21.52,11.0
9.33889,18.1,0.0,0.679,6,20.2,60.72,24.08,9.5
8.49213,18.1,0.0,0.584,6,20.2,83.45,17.64,14.5
10.0623,18.1,0.0,0.584,6,20.2,81.33,19.69,14.1
6.44405,18.1,0.0,0.584,6,20.2,97.95,12.03,16.1
5.58107,18.1,0.0,0.713,6,20.2,100.19,16.22,14.3
13.9134,18.1,0.0,0.713,6,20.2,100.63,15.17,11.7
11.1604,18.1,0.0,0.74,6,20.2,109.85,23.27,13.4
14.4208,18.1,0.0,0.74,6,20.2,27.49,18.05,9.6
15.1772,18.1,0.0,0.74,6,20.2,9.32,26.45,8.7
13.6781,18.1,0.0,0.74,5,20.2,68.95,34.02,8.4
9.39063,18.1,0.0,0.74,5,20.2,396.9,22.88,12.8
22.0511,18.1,0.0,0.74,5,20.2,391.45,22.11,10.5
9.72418,18.1,0.0,0.74,6,20.2,385.96,19.52,17.1
5.66637,18.1,0.0,0.74,6,20.2,395.69,16.59,18.4
9.96654,18.1,0.0,0.74,6,20.2,386.73,18.85,15.4
12.8023,18.1,0.0,0.74,5,20.2,240.52,23.79,10.8
10.6718,18.1,0.0,0.74,6,20.2,43.06,23.98,11.8
6.28807,18.1,0.0,0.74,6,20.2,318.01,17.79,14.9
9.92485,18.1,0.0,0.74,6,20.2,388.52,16.44,12.6
9.32909,18.1,0.0,0.713,6,20.2,396.9,18.13,14.1
7.52601,18.1,0.0,0.713,6,20.2,304.21,19.31,13.0
6.71772,18.1,0.0,0.713,6,20.2,0.32,17.44,13.4
5.44114,18.1,0.0,0.713,6,20.2,355.29,17.73,15.2
5.09017,18.1,0.0,0.713,6,20.2,385.09,17.27,16.1
8.24809,18.1,0.0,0.713,7,20.2,375.87,16.74,17.8
9.51363,18.1,0.0,0.713,6,20.2,6.68,18.71,14.9
4.75237,18.1,0.0,0.713,6,20.2,50.92,18.13,14.1
4.66883,18.1,0.0,0.713,5,20.2,10.48,19.01,12.7
8.20058,18.1,0.0,0.713,5,20.2,3.5,16.94,13.5
7.75223,18.1,0.0,0.713,6,20.2,272.21,16.23,14.9
6.80117,18.1,0.0,0.713,6,20.2,396.9,14.7,20.0
4.81213,18.1,0.0,0.713,6,20.2,255.23,16.42,16.4
3.69311,18.1,0.0,0.713,6,20.2,391.43,14.65,17.7
6.65492,18.1,0.0,0.713,6,20.2,396.9,13.99,19.5
5.82115,18.1,0.0,0.713,6,20.2,393.82,10.29,20.2
7.83932,18.1,0.0,0.655,6,20.2,396.9,13.22,21.4
3.1636,18.1,0.0,0.655,5,20.2,334.4,14.13,19.9
3.77498,18.1,0.0,0.655,5,20.2,22.01,17.15,19.0
4.42228,18.1,0.0,0.584,6,20.2,331.29,21.32,19.1
15.5757,18.1,0.0,0.58,5,20.2,368.74,18.13,19.1
13.0751,18.1,0.0,0.58,5,20.2,396.9,14.76,20.1
4.34879,18.1,0.0,0.58,6,20.2,396.9,16.29,19.9
4.03841,18.1,0.0,0.532,6,20.2,395.33,12.87,19.6
3.56868,18.1,0.0,0.58,6,20.2,393.37,14.36,23.2
4.64689,18.1,0.0,0.614,6,20.2,374.68,11.66,29.8
8.05579,18.1,0.0,0.584,5,20.2,352.58,18.14,13.8
6.39312,18.1,0.0,0.584,6,20.2,302.76,24.1,13.3
4.87141,18.1,0.0,0.614,6,20.2,396.21,18.68,16.7
15.0234,18.1,0.0,0.614,5,20.2,349.48,24.91,12.0
10.233,18.1,0.0,0.614,6,20.2,379.7,18.03,14.6
14.3337,18.1,0.0,0.614,6,20.2,383.32,13.11,21.4
5.82401,18.1,0.0,0.532,6,20.2,396.9,10.74,23.0
5.70818,18.1,0.0,0.532,6,20.2,393.07,7.74,23.7
5.73116,18.1,0.0,0.532,7,20.2,395.28,7.01,25.0
2.81838,18.1,0.0,0.532,5,20.2,392.92,10.42,21.8
2.37857,18.1,0.0,0.583,5,20.2,370.73,13.34,20.6
3.67367,18.1,0.0,0.583,6,20.2,388.62,10.58,21.2
5.69175,18.1,0.0,0.583,6,20.2,392.68,14.98,19.1
4.83567,18.1,0.0,0.583,5,20.2,388.22,11.45,20.6
0.15086,27.74,0.0,0.609,5,20.1,395.09,18.06,15.2
0.18337,27.74,0.0,0.609,5,20.1,344.05,23.97,7.0
0.20746,27.74,0.0,0.609,5,20.1,318.43,29.68,8.1
0.10574,27.74,0.0,0.609,5,20.1,390.11,18.07,13.6
0.11132,27.74,0.0,0.609,5,20.1,396.9,13.35,20.1
0.17331,9.69,0.0,0.585,5,19.2,396.9,12.01,21.8
0.27957,9.69,0.0,0.585,5,19.2,396.9,13.59,24.5
0.17899,9.69,0.0,0.585,5,19.2,393.29,17.6,23.1
0.2896,9.69,0.0,0.585,5,19.2,396.9,21.14,19.7
0.26838,9.69,0.0,0.585,5,19.2,396.9,14.1,18.3
0.23912,9.69,0.0,0.585,6,19.2,396.9,12.92,21.2
0.17783,9.69,0.0,0.585,5,19.2,395.77,15.1,17.5
0.22438,9.69,0.0,0.585,6,19.2,396.9,14.33,16.8
0.06263,11.93,0.0,0.573,6,21.0,391.99,9.67,22.4
0.04527,11.93,0.0,0.573,6,21.0,396.9,9.08,20.6
0.06076,11.93,0.0,0.573,6,21.0,396.9,5.64,23.9
0.10959,11.93,0.0,0.573,6,21.0,393.45,6.48,22.0
0.04741,11.93,0.0,0.573,6,21.0,396.9,7.88,11.9
